,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Color,Variety
2527,Grandi Annate Vino Nobile di Montepulciano 2011,Italy,Vino Nobile di Montepulciano,Avignonesi,4.2,218,69.9,2011,Red,Montepulciano
2528,Brolo del Figaretto Amarone della Valpolicella Valpantena 2014,Italy,Amarone della Valpolicella Valpantena,Corte Figaretto,4.2,218,32.69,2014,Red,Unknown
2529,Moulis-en-Médoc 2016,France,Moulis-en-Médoc,Château Anthonic,3.9,218,21.0,2016,Red,Unknown
2530,Merlot 2018,France,Pays d'Oc,Baron Philippe de Rothschild,3.4,218,8.78,2018,Red,Merlot
2531,Pessac-Léognan (Grand Cru Classé de Graves) 2016,France,Pessac-Léognan,Château Latour-Martillac,4.0,218,63.77,2016,Red,Unknown
2532,Castel Firmian Cabernet Sauvignon Trentino 2018,Italy,Trentino,Mezzacorona,3.8,218,7.27,2018,Red,Cabernet Sauvignon
2533,Dolomite Cabernet Franc 2017,South Africa,Stellenbosch,Raats,3.8,218,14.5,2017,Red,Cabernet Franc
2534,Seigneur de Maugiron Côte-Rôtie 2011,France,Côte-Rôtie,Delas,4.2,218,67.02,2011,Red,Unknown
2535,Pomerol 2013,France,Pomerol,Château Plince,3.9,218,38.02,2013,Red,Unknown
2536,Barolo Ravera 2014,Italy,Barolo,Elvio Cogno,3.9,218,49.95,2014,Red,Unknown
2537,Mas Donis Negre 2017,Spain,Montsant,Capçanes,3.6,218,6.77,2017,Red,Unknown
2538,Albareda Sforzato di Valtellina 2015,Italy,Sforzato della Valtellina,Mamete Prevostini,4.3,218,55.0,2015,Red,Unknown
2539,Cabernet Sauvignon - Merlot 2017,South Africa,Franschhoek,Leopard’s Leap,3.2,218,6.7,2017,Red,Cabernet Sauvignon
2540,Margaux (Grand Cru Classé) 2010,France,Margaux,Château Giscours,4.3,2182,82.37,2010,Red,Unknown
2541,Fonterutoli Chianti Classico 2013,Italy,Chianti Classico,Mazzei,3.8,2182,34.5,2013,Red,Unknown
2542,Grande Sélection Merlot Bordeaux Supérieur 2015,France,Bordeaux Supérieur,Château Penin,3.9,219,11.5,2015,Red,Merlot
2543,Amarone della Valpolicella Classico 2013,Italy,Amarone della Valpolicella Classico,Ca La Bionda,4.2,219,39.0,2013,Red,Unknown
2544,Cresasso Corvina Veronese 2011,Italy,Veneto,Zenato,4.2,219,28.03,2011,Red,Corvina
2545,Brunello di Montalcino 2011,Italy,Brunello di Montalcino,Piancornello,4.2,219,49.9,2011,Red,Brunello
2546,Amarone della Valpolicella Classico 2011,Italy,Amarone della Valpolicella Classico,Bertani,4.0,219,92.15,2011,Red,Unknown
2547,La Tartufaia Barolo 2015,Italy,Barolo,Giulia Negri,3.9,219,38.89,2015,Red,Unknown
2548,Brunello di Montalcino Prime Donne Selection 2013,Italy,Brunello di Montalcino,Donatella Cinelli Colombini,4.5,219,39.95,2013,Red,Brunello
2549,La 50/50 2016,France,Vin de France,Domaine Anne Gros & Jean-Paul Tollot,3.7,219,14.65,2016,Red,Unknown
2550,Dão Reserva 2014,Portugal,Dão,Casa de Santar,3.9,219,16.99,2014,Red,Unknown
2551,Languedoc 2017,France,Languedoc,Hecht & Bannier,3.6,219,9.62,2017,Red,Unknown
2552,San Giuseppe Morellino di Scansano 2016,Italy,Morellino di Scansano,Mantellassi,3.5,219,10.66,2016,Red,Unknown
2553,Amarone della Valpolicella 2016,Italy,Amarone della Valpolicella,Torre d'Orti,4.3,220,29.5,2016,Red,Unknown
2554,Redigaffi Toscana 2012,Italy,Toscana,Tua Rita,4.4,220,193.03,2012,Red,Unknown
2555,Napanook 2016,United States,Napa Valley,Dominus,4.1,220,86.76,2016,Red,Unknown
2556,Chianti Classico 2012,Italy,Chianti Classico,Geografico,3.3,220,8.49,2012,Red,Unknown
2557,Frappato 2017,Italy,Terre Siciliane,Baglio di Pianetto,3.5,220,9.78,2017,Red,Frappato
2558,Tohuwabohu 2016,Germany,Pfalz,Schneider,4.1,220,19.5,2016,Red,Unknown
2559,Amarone della Valpolicella Classico 2012,Italy,Amarone della Valpolicella Classico,Nicolis,4.1,220,39.0,2012,Red,Unknown
2560,Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Salvioni,4.6,220,159.08,2013,Red,Brunello
2561,Numina Gran Corte 2016,Argentina,Tunuyán,Salentein,4.2,2202,19.4,2016,Red,Unknown
2562,Camins del Priorat 2018,Spain,Priorat,Álvaro Palacios,4.0,2206,16.9,2018,Red,Unknown
2563,Rouge (Gaston Hochar) 1998,Lebanon,Bekaa Valley,Château Musar,4.3,2208,37.92,1998,Red,Unknown
2564,Monte Bello 2016,United States,Santa Cruz Mountains,Ridge Vineyards,4.5,221,208.2,2016,Red,Unknown
2565,TO Tempranillo 2017,Spain,Utiel-Requena,Torre Oria,3.6,221,4.74,2017,Red,Tempranillo
2566,Listrac-Médoc 2016,France,Listrac-Médoc,Château Fonréaud,3.9,221,18.47,2016,Red,Unknown
2567,Haut-Médoc 2016,France,Haut-Médoc,Château Sociando-Mallet,4.0,221,45.5,2016,Red,Unknown
2568,Fonte da Serrana Tinto 2018,Portugal,Alentejano,Monte da Ravasqueira,3.8,221,5.98,2018,Red,Unknown
2569,Pauillac (Grand Cru Classé) 2016,France,Pauillac,Château Pichon Longueville Comtesse de Lalande,4.5,221,219.33,2016,Red,Unknown
2570,St. Andrews Shiraz 2016,Australia,Clare Valley,Taylors / Wakefield,4.3,221,20.0,2016,Red,Andre
2571,Merlot 2015,South Africa,Stellenbosch,Thelema,3.8,221,18.95,2015,Red,Merlot
2572,Ignaccio Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Il Marroneto,4.0,221,28.17,2015,Red,Unknown
2573,Saint-Émilion Grand Cru 2011,France,Saint-Émilion Grand Cru,Château Pontet-Fumet,3.8,221,19.4,2011,Red,Unknown
2574,Cabernet Sauvignon 2016,United States,Napa Valley,Louis M. Martini,4.1,2216,30.43,2016,Red,Cabernet Sauvignon
2575,Chianti 2018,Italy,Chianti,Tenuta Castiglioni,3.7,2218,9.59,2018,Red,Unknown
2576,Selección de Familia Reserva 2011,Spain,Rioja,Vivanco,3.9,2218,17.74,2011,Red,Unknown
2577,Shiraz 2017,South Africa,Citrusdal Mountain,Cederberg,4.2,222,25.8,2017,Red,Shiraz
2578,Bandol 2013,France,Bandol,Château Pradeaux,3.8,222,28.95,2013,Red,Unknown
2579,Tianna Bocchoris Negre 2017,Spain,Binissalem-Mallorca,Tianna Negre,4.0,222,18.3,2017,Red,Unknown
2580,Prazo de Roriz Douro 2017,Portugal,Douro,Prats & Symington (P+S),3.9,222,9.9,2017,Red,Unknown
2581,Pétalos 2018,Spain,Bierzo,Descendientes de J. Palacios,3.7,222,15.18,2018,Red,Unknown
2582,Shiraz 2017,South Africa,Tulbagh,Saronsberg,4.3,222,26.2,2017,Red,Shiraz
2583,Molino a Vento Nerello Mascalese 2018,Italy,Terre Siciliane,Tenute Orestiadi,3.7,222,6.32,2018,Red,Nerello Mascalese
2584,Le Stanze Toscana 2016,Italy,Toscana,Poliziano,4.1,222,39.5,2016,Red,Unknown
2585,Shiraz 2018,South Africa,Stellenbosch,Delaire Graff,3.6,222,11.5,2018,Red,Shiraz
2586,Syrah d'Ogier 2017,France,Collines Rhodaniennes,Michel & Stéphane Ogier,3.9,222,11.9,2017,Red,Syrah
2587,Margaux (Grand Cru Classé) 2016,France,Margaux,Château Dauzac,4.1,222,68.14,2016,Red,Unknown
2588,Valpolicella Ripasso 2016,Italy,Valpolicella Ripasso,Bertani,3.8,2226,12.55,2016,Red,Unknown
2589,Crianza 2016,Spain,Rioja,Hacienda López de Haro,3.6,2227,7.6,2016,Red,Unknown
2590,Grumello Valtellina Superiore 2015,Italy,Valtellina Superiore,Nino Negri,3.5,223,13.15,2015,Red,Unknown
2591,Burdese 2014,Italy,Menfi,Planeta,3.8,223,20.29,2014,Red,Unknown
2592,Le Haut-Médoc de Lagrange 2015,France,Haut-Médoc,Château Lagrange,3.3,223,17.95,2015,Red,Unknown
2593,Pessac-Léognan (Grand Cru Classé de Graves) 2005,France,Pessac-Léognan,Château Bouscaut,4.1,223,49.95,2005,Red,Unknown
2594,Saint-Émilion Grand Cru (Grand Cru Classé) 2005,France,Saint-Émilion Grand Cru,Château Grand-Pontet,4.2,223,64.95,2005,Red,Unknown
2595,Kalterersee Classico Superiore 2018,Italy,Trentino-Alto Adige,Cantina Kaltern,3.4,223,7.02,2018,Red,Unknown
2596,Rioja Reserva 2013,Spain,Rioja,Luis Cañas,4.0,2230,13.99,2013,Red,Unknown
2597,Bicicleta Cabernet Sauvignon 2015,Chile,Central Valley,Cono Sur,3.3,2237,6.5,2015,Red,Cabernet Sauvignon
2598,Brunello di Montalcino 2015,Italy,Brunello di Montalcino,Argiano,4.2,224,35.84,2015,Red,Brunello
2599,Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Pindefleurs,3.8,224,25.9,2015,Red,Unknown
2600,Connétable Talbot Saint-Julien 2005,France,Saint-Julien,Château Talbot,4.1,224,116.95,2005,Red,Unknown
2601,Dolcetto d'Alba 2016,Italy,Dolcetto d'Alba,Elio Altare,3.6,224,14.36,2016,Red,Dolcetto
2602,Siglo de Oro Cabernet Sauvignon 2017,Chile,Central Valley,Santa Helena,3.4,224,6.2,2017,Red,Cabernet Sauvignon
2603,Campo Casalvegri Valpolicella Classico Superiore 2016,Italy,Valpolicella Classico,Ca La Bionda,4.0,224,17.5,2016,Red,Unknown
2604,Gigondas 2015,France,Gigondas,Xavier Vignon,3.8,224,19.95,2015,Red,Unknown
2605,Opus Eximium 2017,Austria,Mittelburgenland,Gesellmann,3.9,224,25.24,2017,Red,Unknown
2606,Pagodes de Cos 2016,France,Saint-Estèphe,Cos d'Estournel,4.2,224,43.77,2016,Red,Unknown
2607,Brunello di Montalcino (Campo di Marzo) 2013,Italy,Brunello di Montalcino,Il Valentiano,4.2,224,34.5,2013,Red,Brunello
2608,Terroir Series Coletto Malbec 2015,Argentina,Mendoza,Trapiche,4.2,224,31.9,2015,Red,Malbec
2609,Reserva 2015,Spain,Ribera del Duero,Hacienda Monasterio,4.4,224,48.55,2015,Red,Unknown
2610,Vertigo 2018,Italy,delle Venezie,Livio Felluga,3.8,224,13.53,2018,Red,Unknown
2611,Bordeaux Rouge 2017,France,Bordeaux,Mouton Cadet,3.5,2243,10.5,2017,Red,Unknown
2612,Vino Nobile di Montepulciano 2014,Italy,Vino Nobile di Montepulciano,Avignonesi,3.9,2245,17.74,2014,Red,Montepulciano
2613,Vigne Vecchie Leggenda Primitivo di Manduria 2016,Italy,Primitivo di Manduria,Vigneti del Salento,4.4,2246,17.5,2016,Red,Primitivo
2614,Pauillac (Grand Cru Classé) 2000,France,Pauillac,Château Lynch-Bages,4.5,2248,385.0,2000,Red,Unknown
2615,Teroldego Morei 2015,Italy,Vigneti delle Dolomiti,Foradori,3.9,225,32.0,2015,Red,Teroldego
2616,Acuma 2018,Spain,Jumilla,EGO,4.1,225,7.9,2018,Red,Unknown
2617,Barbaresco 2017,Italy,Barbaresco,Prunotto,3.8,225,26.89,2017,Red,Unknown
2618,Vinedos de La Provincia 2016,Spain,Castilla y León,Prieto Pariente,3.8,225,17.99,2016,Red,Unknown
2619,Pieve Santa Restituta Sugarille Brunello di Montalcino 2011,Italy,Brunello di Montalcino,Gaja,4.6,225,149.0,2011,Red,Brunello
2620,Simon Pic Saint Loup 2011,France,Pic-Saint-Loup,Clos Marie,3.9,225,23.88,2011,Red,Unknown
2621,Sardón 2017,Spain,Castilla y León,Quinta Sardonia,3.8,225,9.85,2017,Red,Unknown
2622,Pessac-Léognan 2005,France,Pessac-Léognan,Château les Carmes Haut-Brion,4.2,225,129.95,2005,Red,Unknown
2623,Pian Romualdo Barbera d'Alba 2017,Italy,Barbera d'Alba,Prunotto,3.8,225,22.99,2017,Red,Barbera
2624,Haut-Médoc 2015,France,Haut-Médoc,Château Clement-Pichon,3.7,225,22.32,2015,Red,Unknown
2625,Rocca Guicciarda Chianti Classico Riserva 2015,Italy,Chianti Classico,Ricasoli,3.8,2256,19.9,2015,Red,Unknown
2626,Max Reserva Carmenère 2016,Chile,Aconcagua Valley,Errazuriz,3.9,2259,14.53,2016,Red,Unknown
2627,Pinotage (Stone Bridge) 2017,South Africa,Franschhoek,Franschhoek Cellar,3.8,226,8.5,2017,Red,Pinotage
2628,Spätburgunder (Pinot Noir) Trocken 2018,Germany,Pfalz,Lergenmüller,3.5,226,5.9,2018,Red,Pinot Noir
2629,Pinot Noir 2014,United States,Sonoma Coast,Occidental,4.4,226,72.13,2014,Red,Pinot Noir
2630,Mount Hermon Red 2019,Israel,Galilee,Hermon,3.7,226,9.95,2019,Red,Unknown
2631,MMM Macho Man 2017,Spain,Jumilla,Casa Rojo,4.0,2263,19.45,2017,Red,Unknown
2632,Grand Vin Minervois La Livinière 2015,France,Minervois La Livinière,L'Ostal Cazes,3.9,227,18.5,2015,Red,Unknown
2633,Aurelio Maremma Toscana 2016,Italy,Maremma Toscana,Val delle Rose,3.9,227,23.25,2016,Red,Unknown
2634,Sandstone Merlot 2013,United States,Livermore Valley,Wente,3.7,227,14.04,2013,Red,Merlot
2635,Lohsa Morellino di Scansano 2017,Italy,Morellino di Scansano,Poliziano,3.5,227,10.9,2017,Red,Unknown
2636,Merlot 2019,South Africa,Robertson,Arabella,3.7,227,5.95,2019,Red,Merlot
2637,Vino Nobile di Montepulciano 2016,Italy,Vino Nobile di Montepulciano,La Braccesca,3.9,2279,19.5,2016,Red,Montepulciano
2638,Rocche del Santo Barbera d'Alba Superiore 2016,Italy,Barbera d'Alba,Brandini,3.9,228,19.5,2016,Red,Barbera
2639,Saint-Émilion Grand Cru (Grand Cru Classé) 2005,France,Saint-Émilion Grand Cru,Château Grand Corbin,3.9,228,54.95,2005,Red,Unknown
2640,Saint-Émilion Grand Cru (Grand Cru Classé) 2011,France,Saint-Émilion Grand Cru,Château Destieux,4.3,228,68.92,2011,Red,Unknown
2641,Minervois (Syrah - Carignan) 2017,France,Minervois,Gérard Bertrand,3.8,228,9.99,2017,Red,Carignan
2642,Rouge (Gaston Hochar) 2013,Lebanon,Bekaa Valley,Château Musar,3.8,228,34.02,2013,Red,Unknown
2643,Vinha do Almo Escolha Tinto 2014,Portugal,Alentejano,Herdade do Perdigão,3.9,228,14.62,2014,Red,Unknown
2644,Crucillón 2018,Spain,Campo de Borja,Bodegas Aragonesas,3.3,228,4.3,2018,Red,Unknown
2645,Pinot Noir 2018,New Zealand,Marlborough,The Ned,3.7,228,15.95,2018,Red,Pinot Noir
2646,Margaux 2005,France,Margaux,Château Monbrison,4.1,228,47.95,2005,Red,Unknown
2647,Pinot Noir 2015,New Zealand,Marlborough,Whitehaven,3.8,228,22.5,2015,Red,Pinot Noir
2648,Passivento Rosso 2018,Italy,Terre Siciliane,Barone Montalto,4.0,2280,8.29,2018,Red,Unknown
2649,Pinot Noir 2017,United States,Monterey County,Wines from Hahn Estate,3.8,2287,19.85,2017,Red,Pinot Noir
2650,Crianza 2014,Spain,Rioja,Berceo,3.4,229,10.8,2014,Red,Unknown
2651,Cordillera Vigno Old Vines Carignan 2016,Chile,Maule Valley,Miguel Torres,3.8,229,15.13,2016,Red,Carignan
2652,Crianza Ribera del Duero 2016,Spain,Ribera del Duero,Condado de Oriza,3.7,229,8.75,2016,Red,Unknown
2653,Piano Montevergine Taurasi 2012,Italy,Taurasi,Feudi di San Gregorio,4.0,229,45.0,2012,Red,Unknown
2654,Reserva Merlot 2017,Chile,Colchagua Valley,Caliterra,3.5,229,6.54,2017,Red,Merlot
2655,Chianti Rufina 2018,Italy,Chianti Rùfina,Selvapiana,3.7,229,12.6,2018,Red,Unknown
2656,Saint-Estèphe 2016,France,Saint-Estèphe,Château Ormes de Pez,3.8,229,39.0,2016,Red,Unknown
2657,Emilio Primo Rosso 2017,Italy,Bolgheri,Terre del Marchesato,3.7,229,22.0,2017,Red,Unknown
2658,Paolo e Carlo Primitivo di Manduria Riserva Sessantasei 66 2016,Italy,Primitivo di Manduria,Conte di Campiano,4.1,229,8.66,2016,Red,Primitivo
2659,Le Cicale di Vincigliata Chianti 2015,Italy,Chianti,Bibi Graetz,3.3,229,12.28,2015,Red,Unknown
2660,Domaine de Bila-Haut Occultum Lapidem 2017,France,Côtes du Roussillon Villages 'Latour de France',M. Chapoutier,3.9,229,17.5,2017,Red,Unknown
2661,Barbera d'Asti Lavignone 2016,Italy,Barbera d'Asti,Pico Maccario,3.8,2290,6.95,2016,Red,Barbera
2662,Haus Klosterberg Pinot Noir 2016,Germany,Mosel,Markus Molitor,3.9,230,15.5,2016,Red,Pinot Noir
2663,Altos R Crianza 2016,Spain,Rioja,Altos de Rioja,3.4,230,7.9,2016,Red,Unknown
2664,Costa Toscana 2013,Italy,Costa Toscana,Ampeleia,3.9,230,28.17,2013,Red,Unknown
2665,Lagrein 2018,Italy,Südtirol - Alto Adige,Kurtatsch (Cortaccia),3.7,230,16.55,2018,Red,Lagrein
2666,Canoe Ridge Estate Merlot 2014,United States,Horse Heaven Hills,Chateau Ste. Michelle,3.8,230,28.35,2014,Red,Merlot
2667,Tavedo Douro 2016,Portugal,Douro,Burmester,3.3,230,8.33,2016,Red,Unknown
2668,Perlato del Bosco 2015,Italy,Toscana,Tua Rita,3.8,230,24.74,2015,Red,Bosco
2669,Tenuta Frescobaldi di Castiglioni 2017,Italy,Toscana,Frescobaldi,4.2,230,17.06,2017,Red,Unknown
2670,Cabernet Sauvignon 2017,Chile,Colchagua Valley,Montes Alpha,3.9,2300,12.94,2017,Red,Cabernet Sauvignon
2671,Vino Nobile di Montepulciano 2014,Italy,Vino Nobile di Montepulciano,La Braccesca,3.8,2302,23.95,2014,Red,Montepulciano
2672,Solanera Viñas Viejas 2015,Spain,Yecla,Castaño,3.7,2306,14.52,2015,Red,Unknown
2673,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva 2016,Italy,Chianti Classico,Antinori,4.3,2308,34.89,2016,Red,Unknown
2674,Castello di Bibbione Chianti Classico Riserva 2013,Italy,Chianti Classico,Castelli del Grevepesa,3.9,231,23.65,2013,Red,Unknown
2675,Saga Bordeaux Rouge 2014,France,Bordeaux,Barons de Rothschild (Lafite),3.4,231,11.95,2014,Red,Unknown
2676,Reserva 2016,Spain,Ribera del Duero,Tinto Pesquera,4.4,231,29.89,2016,Red,Unknown
2677,Saint-Émilion Grand Cru (Grand Cru Classé) 2008,France,Saint-Émilion Grand Cru,Château Grand Mayne,4.1,231,49.95,2008,Red,Unknown
2678,Cantus Primus Fetească Neagră 2016,Romania,Dealu Mare,Vitis Metamorfosis,4.0,231,19.2,2016,Red,Unknown
2679,The Steading 2017,Australia,Barossa Valley,Torbreck,4.1,231,48.37,2017,Red,Unknown
2680,Don Cosimo Primitivo 2018,Italy,Salento,Cantine due Palme,3.8,231,6.99,2018,Red,Primitivo
2681,Le Cicale di Vincigliata Chianti 2016,Italy,Chianti,Bibi Graetz,3.6,231,12.28,2016,Red,Unknown
2682,Margaux 2011,France,Margaux,Château Monbrison,3.8,231,34.07,2011,Red,Unknown
2683,Primitivo 2018,Italy,Puglia,Polvanera,4.0,231,8.9,2018,Red,Primitivo
2684,Ripa della Volta Valpolicella Ripasso 2015,Italy,Valpolicella Ripasso,Ottella,4.2,231,20.27,2015,Red,Unknown
2685,Cordillera Reserva Especial Cabernet Sauvignon 2015,Chile,Maipo Valley,Miguel Torres,3.8,231,16.48,2015,Red,Cabernet Sauvignon
2686,Palazzo della Torre 2016,Italy,Verona,Allegrini,4.0,2315,13.55,2016,Red,Unknown
2687,Bin 28 Kalimna Shiraz 2016,Australia,Barossa Valley,Penfolds,4.1,2315,42.5,2016,Red,Shiraz
2688,Vino Nobile di Montepulciano Riserva 2013,Italy,Vino Nobile di Montepulciano,Poggio Alla Sala,3.8,232,17.45,2013,Red,Montepulciano
2689,Vecchie Viti Chianti Rùfina Riserva 2016,Italy,Chianti Rùfina,Castello Nipozzano,3.8,232,18.9,2016,Red,Unknown
2690,Pauillac (Grand Cru Classé) 2016,France,Pauillac,Château Clerc Milon,4.0,232,96.85,2016,Red,Unknown
2691,Nostre Païs Rouge 2015,France,Costières-de-Nîmes,Michel Gassier,3.7,232,30.0,2015,Red,Unknown
2692,Santenay 2016,France,Santenay,Joseph Drouhin,4.0,232,23.29,2016,Red,Unknown
2693,Massaluca 2017,Spain,Terra Alta,Ramón Roqueta,3.8,232,11.02,2017,Red,Unknown
2694,Svmma Varietalis Red Blend (Summa) 2005,Spain,Dominio de Valdepusa,Marqués de Griñon,4.1,232,19.45,2005,Red,Unknown
2695,Gigondas 2017,France,Gigondas,Château de Saint Cosme,3.9,232,33.0,2017,Red,Unknown
2696,Pinot Noir 2015,Chile,Casablanca Valley,Ritual,3.8,2323,15.69,2015,Red,Pinot Noir
2697,Barolo 2011,Italy,Barolo,Brovia,4.2,233,38.7,2011,Red,Unknown
2698,Pauillac (Grand Cru Classé) 2016,France,Pauillac,Château Pontet-Canet,4.5,233,166.45,2016,Red,Unknown
2699,Cabernet Sauvignon Reserva 2015,Chile,Maipo Valley,Escudo Rojo,3.6,233,9.95,2015,Red,Cabernet Sauvignon
2700,Poggio Valente 2016,Italy,Toscana,Fattoria le Pupille,4.0,233,23.18,2016,Red,Unknown
2701,Salzberg 2012,Austria,Burgenland,Heinrich,4.4,233,77.0,2012,Red,Unknown
2702,Altura Máxima Malbec 2014,Argentina,Salta,Colomé,4.3,233,102.41,2014,Red,Malbec
2703,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2010,France,Saint-Émilion Grand Cru,Château Cheval Blanc,4.6,233,1190.0,2010,Red,Unknown
2704,Gran Cave Merlot 2005,Brazil,Serra Gaúcha,Boscato,3.8,233,37.5,2005,Red,Merlot
2705,Prado Enea Gran Reserva 2010,Spain,Rioja,Muga,4.3,2330,53.42,2010,Red,Unknown
2706,Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Caparzo,4.1,2332,26.09,2013,Red,Brunello
2707,Rouge (Gaston Hochar) 2001,Lebanon,Bekaa Valley,Château Musar,4.2,2333,35.97,2001,Red,Unknown
2708,Negroamaro 2018,Italy,Salento,Paololeo,3.9,234,7.5,2018,Red,Negroamaro
2709,Art Collection Crianza 2016,Spain,Rioja,Bodegas Faustino,3.7,234,9.5,2016,Red,Unknown
2710,Saint-Émilion Grand Cru (Grand Cru Classé) 2015,France,Saint-Émilion Grand Cru,Clos de l'Oratoire,4.1,234,49.5,2015,Red,Unknown
2711,Negroamaro Salento Morgicchio 2012,Italy,Salento,Tormaresca,3.7,234,15.51,2012,Red,Negroamaro
2712,Cabernet Sauvignon - Merlot 2018,South Africa,Franschhoek,Leopard’s Leap,3.3,234,6.69,2018,Red,Cabernet Sauvignon
2713,Tributo Cabernet Sauvignon 2016,Chile,Colchagua Valley,Caliterra,3.9,234,11.9,2016,Red,Cabernet Sauvignon
2714,Merlot 2016,South Africa,Stellenbosch,Meerlust,4.1,234,20.17,2016,Red,Merlot
2715,Cahors 2014,France,Cahors,Château de Chambert,3.7,234,15.5,2014,Red,Unknown
2716,Altos de la Finca 2014,Spain,Castilla,Finca Constancia,3.8,234,19.49,2014,Red,Unknown
2717,Corazón Loco Tinto 2018,Spain,Manchuela,Bodega Iniesta,3.4,234,5.5,2018,Red,Unknown
2718,Grand Malbec 2014,Argentina,Mendoza,Alpasión,4.1,234,24.49,2014,Red,Malbec
2719,Ai Suma Barbera d'Asti 2015,Italy,Barbera d'Asti,Braida,4.4,234,65.0,2015,Red,Barbera
2720,Poggio Alle Nane Maremma Toscana 2016,Italy,Maremma Toscana,Le Mortelle,4.3,234,65.0,2016,Red,Unknown
2721,Gran Malbec Mendoza 2014,Argentina,Uco Valley,Bodega Piedra Negra,3.9,234,33.0,2014,Red,Malbec
2722,Viña Tondonia Reserva 2007,Spain,Rioja,R. López de Heredia Viña Tondonia,4.1,2342,28.95,2007,Red,Unknown
2723,Faithful Hound Red 2016,South Africa,Stellenbosch,Mulderbosch,4.1,235,16.99,2016,Red,Unknown
2724,Pelagrilli Brunello di Montalcino 2011,Italy,Brunello di Montalcino,Siro Pacenti,3.9,235,38.01,2011,Red,Brunello
2725,Añada Roble 2016,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.7,235,7.36,2016,Red,Unknown
2726,The Black Shiraz 2018,Australia,Riverina,Richland,3.6,235,12.52,2018,Red,Shiraz
2727,Blooms Field Pinot Noir 2015,United States,Sta. Rita Hills,Domaine de la Côte,4.3,235,59.0,2015,Red,Pinot Noir
2728,Rubizzo Toscana 2016,Italy,Toscana,Rocca delle Macìe,3.6,235,8.19,2016,Red,Unknown
2729,Cornas Les Arènes 2016,France,Cornas,M. Chapoutier,4.0,235,45.29,2016,Red,Unknown
2730,Diamond Label Shiraz 2018,Australia,South Australia,Rosemount,3.2,235,9.4,2018,Red,Shiraz
2731,Pinot Nero 2013,Italy,Südtirol - Alto Adige,Ferruccio Carlotto,4.0,235,22.37,2013,Red,Unknown
2732,Susumaniello Salento 2016,Italy,Salento,Vallone,3.7,235,8.8,2016,Red,Susumaniello
2733,Moser Family Cabernet Sauvignon 摩塞尔家族赤霞珠 2016,China,Ningxia,Château Changyu Moser XV 张裕摩塞尔十五世酒庄,2.9,235,35.0,2016,Red,Cabernet Sauvignon
2734,La Groletta Valpolicella Ripasso 2017,Italy,Valpolicella Ripasso,Corte Giara,4.0,2350,11.49,2017,Red,Unknown
2735,Pater Sangiovese 2017,Italy,Toscana,Frescobaldi,3.5,236,10.69,2017,Red,Sangiovese
2736,Pessac-Léognan 2016,France,Pessac-Léognan,Château Ferran,3.9,236,19.95,2016,Red,Unknown
2737,Saint-Émilion Grand Cru (Grand Cru Classé) 2010,France,Saint-Émilion Grand Cru,Château Chauvin,3.8,236,44.95,2010,Red,Unknown
2738,Lalande-de-Pomerol 2015,France,Lalande-de-Pomerol,Château Les Vieux Ormes,3.8,236,23.34,2015,Red,Unknown
2739,Caladessa Tinto 2015,Portugal,Alentejo,Herdade da Calada,3.7,236,11.7,2015,Red,Unknown
2740,Nero d'Avola 2016,Italy,Terre Siciliane,Itinera,3.4,236,4.95,2016,Red,Nero d'Avola
2741,Moulis-en-Médoc 2014,France,Médoc,Château Mauvesin Barton,3.8,236,23.23,2014,Red,Unknown
2742,Saint-Émilion Grand Cru 2016,France,Saint-Émilion Grand Cru,Château Rozier,3.9,236,16.36,2016,Red,Unknown
2743,Eleanor Red Wine 2013,United States,California,Francis Ford Coppola,4.2,236,64.21,2013,Red,Unknown
2744,Anaperenna 2015,Australia,Barossa Valley,Glaetzer,4.4,236,47.69,2015,Red,Unknown
2745,Roquers de Porrera 2013,Spain,Priorat,L'Encastell,4.2,236,41.71,2013,Red,Unknown
2746,Pinotage 2017,South Africa,Stellenbosch,Aaldering,4.1,237,22.9,2017,Red,Pinotage
2747,Fleur de Clinet Pomerol 2013,France,Pomerol,Château Clinet,3.8,237,32.07,2013,Red,Unknown
2748,Rosso Piceno Superiore 2016,Italy,Rosso Piceno,DeAngelis (De Angelis),3.7,237,8.33,2016,Red,Unknown
2749,Légende (R) Bordeaux Rouge 2017,France,Bordeaux,Barons de Rothschild (Lafite),3.8,237,9.9,2017,Red,Unknown
2750,Purgatori Costers del Segre 2016,Spain,Costers del Segre,Torres,4.1,237,35.99,2016,Red,Unknown
2751,Valpolicella Ripasso 2018,Italy,Valpolicella Ripasso,Bertani,3.8,237,12.95,2018,Red,Unknown
2752,Alicante Bouschet 2014,Portugal,Alentejano,Herdade do Rocim,4.0,237,14.62,2014,Red,Alicante Bouschet
2753,Labyrinth Cabernet Sauvignon 2016,South Africa,Stellenbosch,Simonsig,3.8,237,12.18,2016,Red,Cabernet Sauvignon
