,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Color,Variety
12569,Qvinterra Riesling Trocken 2018,Germany,Rheinhessen,Kühling-Gillot,3.8,493,10.8,2018,White,Riesling
12570,Sancerre Blanc 2017,France,Sancerre,Domaine du Nozay,3.8,493,37.63,2017,White,Unknown
12571,Director's Cut Chardonnay 2016,United States,Russian River Valley,Francis Ford Coppola,4.1,493,27.9,2016,White,Chardonnay
12572,Rueda Verdejo 2018,Spain,Rueda,Beronia,3.6,493,8.29,2018,White,Verdejo
12573,Altavilla della Corte Grillo 2016,Italy,Terre Siciliane,Firriato,3.6,493,10.69,2016,White,Grillo
12574,Villa Solais Vermentino di Sardegna 2017,Italy,Vermentino di Sardegna,Santadi,3.7,496,6.9,2017,White,Vermentino
12575,Sauvignon Blanc Reserve Collection Elgin 2018,South Africa,Elgin,Tokara,3.9,497,18.9,2018,White,Sauvignon Blanc
12576,Estate Sauvignon Blanc (Varietales) 2018,Uruguay,Maldonado,Bodega Garzón,3.6,497,14.89,2018,White,Sauvignon Blanc
12577,Villa Antinori Toscana Bianco 2019,Italy,Toscana,Antinori,3.8,499,8.68,2019,White,Unknown
12578,Vouvray Classic 2017,France,Vouvray,Marc Brédif,3.9,500,17.85,2017,White,Unknown
12579,Grüner Veltliner 2018,Austria,Kamptal,Loimer,3.8,500,9.72,2018,White,Grüner Veltliner
12580,The Winemaster's Chardonnay 2015,South Africa,Coastal Region,Nederburg,3.5,502,6.63,2015,White,Chardonnay
12581,Torrontes 2017,Argentina,Salta,Alamos,3.6,503,8.89,2017,White,Torrontes
12582,Chardonnay 2018,New Zealand,Marlborough,Stoneleigh,3.7,505,11.45,2018,White,Chardonnay
12583,Riesling Trocken 2016,Germany,Pfalz,Georg Mosbacher,3.9,505,9.99,2016,White,Riesling
12584,Las Mulas Reserva Sauvignon Blanc 2018,Chile,Central Valley,Miguel Torres,3.6,506,9.9,2018,White,Sauvignon Blanc
12585,Riesling Trocken 2018,Germany,Rheingau,Kloster Eberbach,3.5,507,10.99,2018,White,Riesling
12586,Louro do Bolo Godello Valdeorras 2016,Spain,Valdeorras,Rafael Palacios,3.9,508,15.95,2016,White,Godello
12587,Riesling Trocken 2016,Germany,Rheinhessen,Battenfeld Spanier,3.8,509,14.29,2016,White,Riesling
12588,Riesling Trocken 2017,Germany,Rheinhessen,Wittmann,3.7,510,11.51,2017,White,Riesling
12589,Brolettino Lugana 2018,Italy,Lugana,Cà dei Frati,4.1,510,14.52,2018,White,Unknown
12590,Condrieu La Doriane 2016,France,Condrieu,E. Guigal,4.2,511,82.0,2016,White,Unknown
12591,Viña Sol Original 2019,Spain,Penedès,Torres,3.6,512,5.95,2019,White,Unknown
12592,Chardonnay 2017,United States,Monterey,Hess Select,3.4,515,12.9,2017,White,Chardonnay
12593,Wild Yeast Chardonnay 2018,South Africa,Robertson,Springfield Estate,3.9,517,15.69,2018,White,Chardonnay
12594,Adorato Appassionato Bianco 2018,Italy,Veneto,Tommasi,3.5,518,10.9,2018,White,Unknown
12595,Gewürztraminer 2015,Italy,Südtirol - Alto Adige,Terlan (Terlano),3.8,520,14.95,2015,White,Gewürztraminer
12596,Verdejo 2019,Spain,Rueda,Protos,3.8,523,6.85,2019,White,Verdejo
12597,Sauvignon Blanc 2019,South Africa,Franschhoek,La Motte Wine Estate,3.6,530,9.99,2019,White,Sauvignon Blanc
12598,Côtes du Rhône Réserve Blanc 2016,France,Côtes-du-Rhône,Les Dauphins,3.5,531,6.85,2016,White,Unknown
12599,Le Vaglie Verdicchio dei Castelli di Jesi Classico 2015,Italy,Verdicchio dei Castelli di Jesi,Azienda Santa Barbara - Stefano Antonucci,3.8,532,9.9,2015,White,Verdicchio
12600,As Sortes Val do Bibei Godello 2015,Spain,Valdeorras,Rafael Palacios,4.2,532,39.95,2015,White,Godello
12601,Châteauneuf-du-Pape Les Sinards Blanc 2017,France,Châteauneuf-du-Pape,Famille Perrin,4.1,532,30.74,2017,White,Unknown
12602,Filius Chardonnay 2017,Australia,Margaret River,Vasse Felix,3.7,532,20.9,2017,White,Chardonnay
12603,Castel Firmian Pinot Grigio Trentino 2018,Italy,Trentino,Mezzacorona,3.8,534,7.66,2018,White,Pinot Grigio
12604,Estate Chardonnay 2016,Chile,Casablanca Valley,Errazuriz,3.5,535,8.9,2016,White,Chardonnay
12605,Rías Baixas Albariño 2017,Spain,Rías Baixas,Finca Garabelos,4.1,535,16.9,2017,White,Albariño
12606,Mâcon-Villages Blanc 2018,France,Mâcon-Villages,Louis Jadot,3.8,536,14.54,2018,White,Unknown
12607,Original Chenin Blanc (Unwooded) 2018,South Africa,Stellenbosch,Raats,3.7,536,12.5,2018,White,Chenin Blanc
12608,Muros Antigos Escolha 2018,Portugal,Vinho Verde,Anselmo Mendes,3.6,538,6.5,2018,White,Unknown
12609,Central Coast Chardonnay 2016,United States,Central Coast,William Hill,3.7,539,13.9,2016,White,Chardonnay
12610,Mannequin 2017,United States,California,Orin Swift,4.0,540,37.04,2017,White,Unknown
12611,Corton-Charlemagne Grand Cru 2009,France,Corton-Charlemagne Grand Cru,Bonneau du Martray,4.4,541,249.95,2009,White,Unknown
12612,Chenin Blanc Secateurs 2019,South Africa,Swartland,Badenhorst,3.7,541,9.89,2019,White,Chenin Blanc
12613,La Fuga Chardonnay Contessa Entellina 2018,Italy,Contessa Entellina,Donnafugata,3.8,542,11.5,2018,White,Chardonnay
12614,Sancerre Blanc 2017,France,Sancerre,Château de Sancerre,3.9,543,33.87,2017,White,Unknown
12615,Côtes-du-Rhône Blanc 2017,France,Côtes-du-Rhône,E. Guigal,3.5,544,13.04,2017,White,Unknown
12616,Napa Valley Estate Chardonnay 2016,United States,Napa Valley,The Hess Collection,3.8,549,19.39,2016,White,Chardonnay
12617,Chardonnay 2018,Chile,Colchagua Valley,Los Vascos,3.6,550,7.75,2018,White,Chardonnay
12618,Riesling 2015,United States,Columbia Valley,Eroica,3.9,551,24.45,2015,White,Riesling
12619,Riesling 2018,Germany,Pfalz,Von Winning,3.8,552,8.5,2018,White,Riesling
12620,Roero Arneis 2018,Italy,Roero,Bruno Giacosa,3.8,554,21.18,2018,White,Arneis
12621,Pinot Grigio 2018,Italy,Südtirol - Alto Adige,St. Michael-Eppan,3.8,556,10.95,2018,White,Pinot Grigio
12622,Chardonnay 2017,South Africa,Stellenbosch,Simonsig,3.6,557,10.9,2017,White,Chardonnay
12623,Le Finage Chablis 2017,France,Chablis,La Chablisienne,3.7,557,22.78,2017,White,Unknown
12624,Chardonnay 2018,France,Vin de France,Maison de La Villette,3.9,558,6.33,2018,White,Chardonnay
12625,Garnacha Blanca 2017,Spain,Valdejalón,Botijo Rojo,3.7,559,9.9,2017,White,Unknown
12626,Napa Valley Chardonnay 2013,United States,Napa Valley,Beringer,3.7,560,22.9,2013,White,Chardonnay
12627,Win Win Riesling 2018,Germany,Pfalz,Von Winning,3.8,563,9.7,2018,White,Riesling
12628,Albariño 2018,Spain,Rías Baixas,Fillaboa,4.0,564,13.16,2018,White,Albariño
12629,Chardonnay (Reserva) 2019,Chile,Casablanca Valley,Casillero del Diablo,3.4,565,7.89,2019,White,Chardonnay
12630,Chardonnay 2018,United States,Columbia Valley,Chateau Ste. Michelle,3.8,567,12.5,2018,White,Chardonnay
12631,The Winemaster's Sauvignon Blanc 2018,South Africa,Coastal Region,Nederburg,3.7,567,6.3,2018,White,Sauvignon Blanc
12632,Sancerre Blanc 2018,France,Sancerre,Domaine Vacheron,4.0,569,24.0,2018,White,Unknown
12633,Fiano Di Avellino 2018,Italy,Fiano de Avellino,Feudi di San Gregorio,3.8,570,11.49,2018,White,Fiano
12634,Chardonnay 2018,France,Pays d'Oc,Les Jamelles,3.6,570,5.69,2018,White,Chardonnay
12635,Pazo das Bruxas 2018,Spain,Rías Baixas,Torres,3.8,571,12.09,2018,White,Unknown
12636,Chenin Blanc 2019,South Africa,Robertson,Arabella,3.8,575,5.95,2019,White,Chenin Blanc
12637,Chardonnay 2017,Chile,Casablanca Valley,Montes Alpha,3.8,578,12.49,2017,White,Chardonnay
12638,Molin Lugana 2015,Italy,Lugana,Cà Maiol,3.8,579,16.59,2015,White,Unknown
12639,Mosel Alte Reben Riesling 2016,Germany,Mosel,Markus Molitor,4.0,580,17.35,2016,White,Riesling
12640,Gewürztraminer 2018,Italy,Südtirol - Alto Adige,Cantina Kaltern,4.0,583,11.6,2018,White,Gewürztraminer
12641,Grande Réserve Sancerre Blanc 2018,France,Sancerre,Henri Bourgeois,3.9,583,26.04,2018,White,Unknown
12642,Riesling Trocken 2018,Germany,Pfalz,Reichsrat von Buhl,3.6,585,8.9,2018,White,Riesling
12643,As Sortes Val do Bibei Godello 2014,Spain,Valdeorras,Rafael Palacios,4.2,586,39.9,2014,White,Godello
12644,Grüner Veltliner vom Haus 2017,Austria,Niederösterreich,Weingut R&A Pfaffl,3.8,587,8.69,2017,White,Grüner Veltliner
12645,Fumé Blanc 2016,United States,Napa Valley,Robert Mondavi,3.7,590,20.96,2016,White,Unknown
12646,Colle dei Tigli Bianco del Veneto 2018,Italy,Veneto,Lenotti,4.0,590,5.12,2018,White,Unknown
12647,Blindfold 2017,United States,California,The Prisoner,4.1,592,37.53,2017,White,Unknown
12648,Grand Régnard Chablis 2018,France,Chablis,Régnard,4.3,596,36.9,2018,White,Unknown
12649,Life from Stone Sauvignon Blanc 2019,South Africa,Robertson,Springfield Estate,4.2,597,12.57,2019,White,Sauvignon Blanc
12650,Scaia Bianco (Garganega - Chardonnay) 2019,Italy,Veneto,Tenuta Sant'Antonio,4.1,600,8.25,2019,White,Garganega
